,GW150914-H1,GW150914-L1,GW151012-H1,GW151012-L1,GW151226-H1,GW151226-L1,GW170104-H1,GW170104-L1,GW170608-H1,GW170608-L1,GW170729-H1,GW170729-L1,GW170729-V1,GW170809-H1,GW170809-L1,GW170809-V1,GW170814-L1,GW170814-V1,GW170817-L1,GW170817-V1,GW170818-L1,GW170818-V1,GW170823-H1,GW170823-L1,GW190412-H1,GW190412-L1,GW190521-H1,GW190521-L1
631,1.4043539396885114e-22,2.4605263527203784e-22,1.2665311632346075e-23,-1.1992665775910515e-23,5.655592860730123e-23,3.218208731534415e-22,8.7082122569445e-23,-4.4013737624117625e-23,-1.6785575949781155e-22,-1.3592547387196459e-22,1.9300448200903516e-22,-1.048458266575712e-22,9.279328860420989e-23,-1.079813623992714e-23,3.353757661070408e-23,2.478689148336607e-22,-1.4529329609021881e-22,-2.427710899436459e-22,-1.4223736044060614e-21,-8.47668303711223e-22,-5.039300617114438e-23,5.055541228869176e-22,5.0483968888732604e-23,3.645329225697235e-23,2.5349823885688373e-23,-8.756208937690372e-24,-3.9187931119026605e-23,5.091356737996032e-24
632,7.905279436289766e-23,1.6951525210737105e-22,6.802440847924102e-23,5.724026253615575e-23,6.615360442476289e-23,3.0194299360221924e-22,5.986969938718556e-23,-5.766894698905547e-23,-1.2915909314643804e-22,-1.6889196861675963e-22,1.8244640200567352e-22,-1.3018898807113725e-22,1.0189725652157533e-21,-1.9553428145800717e-23,2.0914613957093168e-23,7.309581938733635e-23,-1.480177946449838e-22,8.994726321574185e-24,-8.761137547065484e-22,-1.2236832668776214e-21,-8.855620293662255e-23,5.029243692943842e-22,5.393198694808408e-23,2.8782336616108596e-24,7.707461337651319e-23,-2.6259753768953824e-23,-6.365478673030129e-23,-4.783439276476338e-24
633,-3.8092274370269614e-24,8.422532657679369e-23,1.1465675172549116e-22,1.062671626429265e-22,7.215829666517568e-23,2.6727152703541546e-22,3.854004570545085e-23,-6.944492748905222e-23,-8.796823460912054e-23,-1.8252872884628134e-22,1.5344679669894254e-22,-1.453919121401503e-22,-7.0715166477783035e-22,-3.051572460523208e-23,-4.843736018630308e-25,-1.0765242219895821e-22,-1.4088935471922197e-22,2.347790328063561e-22,-8.314658667683447e-23,-1.1711296801521879e-21,-1.1637691126046056e-22,3.8992555673127895e-22,5.1671481278873897e-23,-2.6087653349058028e-23,1.1336109670906754e-22,-5.2833374982109166e-23,-7.437811869475584e-23,-9.277390200534614e-24
634,-9.855499526688713e-23,4.6203322974084375e-24,1.3795629956216851e-22,1.1428041451505987e-22,7.390488551456574e-23,2.1701360763518574e-22,2.5853304403161795e-23,-7.572785746311773e-23,-4.85174453618405e-23,-1.6938089287061677e-22,1.096458569608547e-22,-1.5150354140288288e-22,-1.5186547206621365e-21,-3.435577666430191e-23,-2.4170269002224275e-23,-2.6047569036046286e-22,-1.261962151763873e-22,3.7170141673586956e-22,8.267409929012991e-22,-7.141476070412436e-22,-1.2872565750727965e-22,2.1100664046884547e-22,4.6713223562219394e-23,-4.466380203445041e-23,1.2496851576303635e-22,-7.722100576770478e-23,-7.018565415693682e-23,-8.588086691168925e-24
635,-1.8989395256967137e-22,-5.949222587027482e-23,1.334962281640975e-22,6.918598104609084e-23,7.175860894652839e-23,1.5151577787532768e-22,2.1191251371463808e-23,-7.307550993981251e-23,-1.216678100754855e-23,-1.2957449867810825e-22,5.701008321688822e-23,-1.5021174387331517e-22,-1.637066831459921e-22,-2.2420846708590003e-23,-4.251724016687481e-23,-3.6513271037197985e-22,-1.0717157053703023e-22,3.914009181542056e-22,1.6765676686139107e-21,-3.829788802012503e-23,-1.2355029030817982e-22,2.4477694464766484e-23,4.24102380678606e-23,-5.021222243058559e-23,1.1179870317254567e-22,-8.654759082958149e-23,-5.503265357245828e-23,-4.0873334050724346e-24
636,-2.6118926587640174e-22,-1.0142646759653888e-22,1.054159354871725e-22,-2.517627789651687e-23,6.54740080783706e-23,7.286160934619442e-23,2.067175927367956e-23,-5.831171452278932e-23,2.3031920419861115e-23,-7.242884853879388e-23,2.9361271412852175e-24,-1.4469077043812317e-22,1.6528735183917886e-21,1.0338984664842832e-23,-4.964751346611854e-23,-4.2054930450606683e-22,-8.727776224188974e-23,3.1240941501178764e-22,2.2877268643321727e-21,5.816038351907785e-22,-1.0226261815826166e-22,-1.1726878337214574e-22,4.1410035262178616e-23,-4.3608765001635627e-23,8.211769978345967e-23,-7.239782235693328e-23,-3.587705926215118e-23,2.3155184336730838e-24
637,-3.0177041940083536e-22,-1.1652662514009497e-22,6.470171652114481e-23,-1.397167255771564e-22,5.583458916313015e-23,-1.509924783387018e-23,1.9961147748333454e-23,-3.09536559901277e-23,5.968061160257875e-23,-1.2092471787402633e-23,-4.4718132128049075e-23,-1.3744643233094994e-22,7.580811418343481e-22,6.176543029213053e-23,-4.2850641158707426e-23,-4.430686433987854e-22,-6.965539339774647e-23,1.8975047609928562e-22,2.5268528659016214e-21,8.926950719382573e-22,-6.916340026091019e-23,-1.8342912037568519e-22,4.462611315907114e-23,-2.901484465888735e-23,4.7810645314136166e-23,-3.498519398899573e-23,-2.1098112117198536e-23,8.467185925875837e-24
638,-3.106358184179691e-22,-1.0659021959710756e-22,2.194960137964633e-23,-2.256781189729749e-22,4.3004418893449914e-23,-1.067310606560371e-22,1.508617882252068e-23,6.33981328806739e-24,9.647599691091439e-23,3.91719622078037e-23,-7.884904876690582e-23,-1.3100725621240674e-22,-1.2428773485864937e-21,1.2259615854837648e-22,-2.3933313073441368e-23,-4.576187785284052e-22,-5.645064547909634e-23,8.82939826159247e-23,2.343183464048791e-21,7.687978140384412e-22,-3.048797337535098e-23,-1.7238704461681601e-22,5.085767504128271e-23,-1.2475021900615942e-23,1.8731643853103898e-23,1.6249721830435528e-23,-1.667370957125241e-23,1.261721495119806e-23
639,-2.968106719504497e-22,-7.964697955501287e-23,-1.539963648844159e-23,-2.3345373223318667e-22,2.818248034320049e-23,-1.9536012357560731e-22,4.6332303706051225e-24,4.647874490916692e-23,1.2698367638590807e-22,7.663368294481749e-23,-9.416536535442757e-23,-1.2608402192133503e-22,-1.3076974697153828e-21,1.7753464564877174e-22,1.7312892866434805e-24,-4.842795424938444e-22,-4.8530156833925775e-23,5.371029596668281e-23,1.7818452452594804e-21,2.62994945816199e-22,7.107120001442541e-24,-1.0867046727326283e-22,5.688024598081605e-23,-3.7925220231120805e-25,-1.4440583375992697e-24,6.65391179275651e-23,-2.4834718851806083e-23,1.354783438990618e-23
640,-2.737717285953733e-22,-4.53046635193108e-23,-4.681294686147344e-23,-1.4156773395458045e-22,1.195242775548833e-23,-2.7394819624152704e-22,-1.0971588126977212e-23,8.010547082532343e-23,1.442103292236798e-22,1.0257844396041464e-22,-8.815343228740027e-23,-1.2292468991920052e-22,2.049347521373759e-22,2.101759608576841e-22,2.6282901448570932e-23,-5.265877608480453e-22,-4.524417953404565e-23,9.469786147564721e-23,9.723561485319928e-22,-4.1395254840424696e-22,3.7830345597099156e-23,-3.192972044437146e-23,5.834822364397767e-23,2.473736116354908e-24,-1.5436219855791588e-23,1.0188852827093017e-22,-4.234489430531906e-23,1.0965544383645185e-23
